"Survived","Pclass","Sex","Age"
"0",3,"male",22
"1",1,"female",38
"1",3,"female",26
"1",1,"female",35
"0",3,"male",35
"0",1,"male",54
"0",3,"male",2
"1",3,"female",27
"1",2,"female",14
"1",3,"female",4
"1",1,"female",58
"0",3,"male",20
"0",3,"male",39
"0",3,"female",14
"1",2,"female",55
"0",3,"male",2
"0",3,"female",31
"0",2,"male",35
"1",2,"male",34
"1",3,"female",15
"1",1,"male",28
"0",3,"female",8
"1",3,"female",38
"0",1,"male",19
"0",1,"male",40
"0",2,"male",66
"0",1,"male",28
"0",1,"male",42
"0",3,"male",21
"0",3,"female",18
"1",3,"female",14
"0",3,"female",40
"0",2,"female",27
"1",2,"female",3
"1",3,"female",19
"0",3,"female",18
"0",3,"male",7
"0",3,"male",21
"1",1,"female",49
"1",2,"female",29
"0",1,"male",65
"1",2,"female",21
"0",3,"male",28.5
"1",2,"female",5
"0",3,"male",11
"0",3,"male",22
"1",1,"female",38
"0",1,"male",45
"0",3,"male",4
"1",2,"female",29
"0",3,"male",19
"1",3,"female",17
"0",3,"male",26
"0",2,"male",32
"0",3,"female",16
"0",2,"male",21
"0",3,"male",26
"1",3,"male",32
"0",3,"male",25
"1",2,"male",0.83
"1",3,"female",30
"0",3,"male",22
"1",3,"male",29
"0",1,"male",28
"1",2,"female",17
"1",3,"female",33
"0",3,"male",16
"1",1,"female",23
"0",3,"male",24
"0",3,"male",29
"0",3,"male",20
"0",1,"male",46
"0",3,"male",26
"0",3,"male",59
"0",1,"male",71
"1",1,"male",23
"1",2,"female",34
"0",2,"male",34
"0",3,"female",28
"0",1,"male",21
"0",3,"male",33
"0",3,"male",37
"0",3,"male",28
"1",3,"female",21
"0",3,"male",38
"0",1,"male",47
"0",3,"female",14.5
"0",3,"male",22
"0",3,"female",20
"0",3,"female",17
"0",3,"male",21
"0",3,"male",70.5
"0",2,"male",29
"0",1,"male",24
"0",3,"female",2
"0",2,"male",21
"0",2,"male",32.5
"1",2,"female",32.5
"0",1,"male",54
"1",3,"male",12
"1",3,"male",24
"0",3,"male",45
"0",3,"male",33
"0",3,"male",20
"0",3,"female",47
"1",2,"female",29
"0",2,"male",25
"0",2,"male",23
"1",1,"female",19
"0",1,"male",37
"0",3,"male",16
"0",1,"male",24
"1",3,"female",22
"1",3,"female",24
"0",3,"male",19
"0",2,"male",18
"0",2,"male",19
"1",3,"male",27
"0",3,"female",9
"0",2,"male",36.5
"0",2,"male",42
"0",2,"male",51
"1",1,"female",22
"0",3,"male",55.5
"0",3,"male",40.5
"0",1,"male",51
"1",3,"female",16
"0",3,"male",30
"0",3,"male",44
"1",2,"female",40
"0",3,"male",26
"0",3,"male",17
"0",3,"male",1
"1",3,"male",9
"0",3,"female",45
"0",3,"male",28
"0",1,"male",61
"0",3,"male",4
"1",3,"female",1
"0",3,"male",21
"0",1,"male",56
"0",3,"male",18
"0",1,"female",50
"0",2,"male",30
"0",3,"male",36
"0",3,"male",9
"1",2,"male",1
"1",3,"female",4
"1",1,"male",45
"0",3,"male",40
"0",3,"male",36
"1",2,"female",32
"0",2,"male",19
"1",3,"female",19
"1",2,"male",3
"1",1,"female",44
"1",1,"female",58
"0",3,"male",42
"0",2,"female",24
"0",3,"male",28
"0",3,"male",34
"0",3,"male",45.5
"1",3,"male",18
"0",3,"female",2
"0",3,"male",32
"1",3,"male",26
"1",3,"female",16
"1",1,"male",40
"0",3,"male",24
"1",2,"female",35
"0",3,"male",22
"0",2,"male",30
"1",1,"female",31
"1",3,"female",27
"0",2,"male",42
"1",1,"female",32
"0",2,"male",30
"1",3,"male",16
"0",2,"male",27
"0",3,"male",51
"1",1,"male",38
"0",3,"male",22
"1",2,"male",19
"0",3,"male",20.5
"0",2,"male",18
"1",1,"female",35
"0",3,"male",29
"0",2,"male",59
"1",3,"female",5
"0",2,"male",24
"0",2,"male",44
"1",2,"female",8
"0",2,"male",19
"0",2,"male",33
"0",2,"male",29
"0",3,"male",22
"0",3,"male",30
"0",1,"male",44
"0",3,"female",25
"1",2,"female",24
"1",1,"male",37
"0",2,"male",54
"0",3,"female",29
"0",1,"male",62
"0",3,"male",30
"0",3,"female",41
"1",3,"female",29
"1",1,"female",30
"1",1,"female",35
"1",2,"female",50
"1",3,"male",3
"0",1,"male",52
"0",1,"male",40
"0",2,"male",36
"0",3,"male",16
"1",3,"male",25
"1",1,"female",58
"1",1,"female",35
"1",3,"male",25
"1",2,"female",41
"0",1,"male",37
"1",1,"female",63
"0",3,"female",45
"0",3,"male",7
"1",3,"female",35
"0",3,"male",65
"0",3,"male",28
"0",3,"male",16
"1",3,"male",19
"0",3,"male",33
"1",3,"male",30
"0",3,"male",22
"1",2,"male",42
"1",3,"female",22
"1",1,"female",26
"1",1,"female",19
"0",2,"male",36
"0",3,"female",24
"0",3,"male",24
"0",3,"male",23.5
"0",1,"female",2
"1",1,"female",50
"0",3,"male",19
"1",1,"male",0.92
"1",1,"female",17
"0",2,"male",30
"1",1,"female",30
"1",1,"female",24
"1",1,"female",18
"0",2,"female",26
"0",3,"male",28
"0",2,"male",43
"1",3,"female",26
"1",2,"female",24
"0",2,"male",54
"1",1,"female",31
"1",1,"female",40
"0",3,"male",22
"0",3,"male",27
"1",2,"female",30
"1",2,"female",22
"1",1,"female",36
"0",3,"male",61
"1",2,"female",36
"1",3,"female",31
"1",1,"female",16
"0",1,"male",45.5
"0",1,"male",38
"0",3,"male",16
"0",1,"male",29
"1",1,"female",41
"1",3,"male",45
"0",1,"male",45
"1",2,"male",2
"1",1,"female",24
"0",2,"male",28
"0",2,"male",25
"0",2,"male",36
"1",2,"female",24
"1",2,"female",40
"1",3,"male",3
"0",3,"male",42
"0",3,"male",23
"0",3,"male",15
"0",3,"male",25
"0",3,"male",28
"1",1,"female",22
"0",2,"female",38
"0",3,"male",40
"0",2,"male",29
"0",3,"female",45
"0",3,"male",35
"0",3,"male",30
"1",1,"female",60
"1",1,"female",24
"1",1,"male",25
"0",3,"male",18
"0",3,"male",19
"0",1,"male",22
"0",3,"female",3
"1",3,"female",22
"0",1,"male",27
"0",3,"male",20
"0",3,"male",19
"1",1,"female",42
"1",3,"female",1
"0",3,"male",32
"1",1,"female",35
"0",2,"male",18
"0",3,"male",1
"1",2,"female",36
"1",2,"female",17
"1",1,"male",36
"1",3,"male",21
"0",3,"male",28
"1",1,"female",23
"1",3,"female",24
"0",3,"male",22
"0",3,"female",31
"0",2,"male",46
"0",2,"male",23
"1",2,"female",28
"1",3,"male",39
"0",3,"male",26
"0",3,"female",21
"0",3,"male",28
"0",3,"female",20
"0",2,"male",34
"0",3,"male",51
"1",2,"male",3
"0",3,"male",21
"1",1,"female",33
"1",3,"male",44
"1",2,"female",34
"1",2,"female",18
"0",2,"male",30
"0",3,"female",10
"0",3,"male",21
"0",3,"male",29
"0",3,"female",28
"0",3,"male",18
"1",2,"female",28
"1",2,"female",19
"1",3,"male",32
"1",1,"male",28
"1",2,"female",42
"0",3,"male",17
"0",1,"male",50
"1",1,"female",14
"0",3,"female",21
"1",2,"female",24
"0",1,"male",64
"0",2,"male",31
"1",2,"female",45
"0",3,"male",20
"0",3,"male",25
"1",2,"female",28
"1",1,"male",4
"1",2,"female",13
"1",1,"male",34
"1",3,"female",5
"1",1,"male",52
"0",2,"male",36
"0",1,"male",30
"1",1,"male",49
"1",3,"male",29
"0",1,"male",65
"1",2,"female",50
"1",1,"male",48
"0",3,"male",34
"0",1,"male",47
"0",2,"male",48
"0",3,"male",38
"0",1,"male",56
"1",3,"female",0.75
"0",3,"male",38
"1",2,"female",33
"1",2,"female",23
"0",3,"female",22
"0",2,"male",34
"0",3,"male",29
"0",3,"male",22
"1",3,"female",2
"0",3,"male",9
"0",3,"male",50
"1",3,"female",63
"1",1,"male",25
"1",1,"female",35
"0",1,"male",58
"0",3,"male",30
"1",3,"male",9
"0",3,"male",21
"0",1,"male",55
"0",1,"male",71
"0",3,"male",21
"1",1,"female",54
"0",1,"female",25
"0",3,"male",24
"0",3,"male",17
"0",3,"female",21
"0",3,"female",37
"1",1,"female",16
"0",1,"male",18
"1",2,"female",33
"0",3,"male",28
"1",3,"male",26
"1",3,"male",29
"1",1,"male",36
"1",1,"female",54
"0",3,"male",24
"0",1,"male",47
"1",2,"female",34
"1",2,"female",36
"0",3,"male",32
"1",1,"female",30
"0",3,"male",22
"1",1,"female",44
"0",3,"male",40.5
"1",2,"female",50
"0",3,"male",39
"0",2,"male",23
"1",2,"female",2
"0",3,"male",17
"0",3,"female",30
"1",2,"female",7
"0",1,"male",45
"1",1,"female",30
"1",1,"female",22
"1",1,"female",36
"0",3,"female",9
"0",3,"female",11
"1",2,"male",32
"0",1,"male",50
"0",1,"male",64
"1",2,"female",19
"0",3,"male",33
"1",2,"male",8
"1",1,"male",17
"0",2,"male",27
"1",3,"male",22
"1",3,"female",22
"0",1,"male",62
"1",1,"female",48
"1",1,"female",39
"1",3,"female",36
"0",3,"male",40
"0",2,"male",28
"0",3,"male",24
"0",3,"male",19
"0",3,"female",29
"1",3,"male",32
"1",2,"male",62
"1",1,"female",53
"1",1,"male",36
"0",3,"male",16
"0",3,"male",19
"1",2,"female",34
"1",1,"female",39
"1",3,"male",32
"1",2,"female",25
"1",1,"female",39
"0",2,"male",54
"0",1,"male",36
"1",1,"female",18
"0",2,"male",47
"1",1,"male",60
"0",3,"male",22
"0",3,"male",35
"1",1,"female",52
"0",3,"male",47
"0",2,"male",37
"0",3,"male",36
"0",3,"male",49
"1",1,"male",49
"1",2,"female",24
"0",3,"male",44
"1",1,"male",35
"0",3,"male",36
"0",3,"male",30
"1",1,"male",27
"1",2,"female",22
"1",1,"female",40
"0",3,"female",39
"0",3,"male",35
"1",2,"female",24
"0",3,"male",34
"0",3,"female",26
"1",2,"female",4
"0",2,"male",26
"0",3,"male",27
"1",1,"male",42
"1",3,"male",20
"0",3,"male",21
"0",3,"male",21
"0",1,"male",61
"0",2,"male",57
"1",1,"female",21
"0",3,"male",26
"1",1,"male",80
"0",3,"male",51
"1",1,"male",32
"0",3,"female",9
"1",2,"female",28
"0",3,"male",32
"0",2,"male",31
"0",3,"female",41
"0",3,"male",20
"1",1,"female",24
"0",3,"female",2
"1",3,"female",0.75
"1",1,"male",48
"0",3,"male",19
"1",1,"male",56
"1",3,"female",23
"1",2,"female",18
"0",3,"male",21
"0",3,"female",18
"0",2,"male",24
"0",3,"female",32
"0",2,"male",23
"0",1,"male",58
"1",1,"male",50
"0",3,"male",40
"0",1,"male",47
"0",3,"male",36
"1",3,"male",20
"0",2,"male",32
"0",2,"male",25
"0",3,"male",43
"1",2,"female",40
"0",1,"male",31
"0",2,"male",70
"1",2,"male",31
"0",3,"male",18
"0",3,"male",24.5
"1",3,"female",18
"0",3,"female",43
"1",1,"male",36
"1",1,"male",27
"0",3,"male",20
"0",3,"male",14
"0",2,"male",60
"0",2,"male",25
"0",3,"male",14
"0",3,"male",19
"0",3,"male",18
"1",1,"female",15
"1",1,"male",31
"1",3,"female",4
"0",3,"male",25
"0",1,"male",60
"0",2,"male",52
"0",3,"male",44
"0",1,"male",49
"0",3,"male",42
"1",1,"female",18
"1",1,"male",35
"0",3,"female",18
"0",3,"male",25
"0",3,"male",26
"0",2,"male",39
"1",2,"female",45
"1",1,"male",42
"1",1,"female",22
"1",1,"female",24
"1",1,"male",48
"0",3,"male",29
"0",2,"male",52
"0",3,"male",19
"1",1,"female",38
"1",2,"female",27
"0",3,"male",33
"1",2,"female",6
"0",3,"male",17
"0",2,"male",34
"0",2,"male",50
"1",1,"male",27
"0",3,"male",20
"1",2,"female",30
"0",2,"male",25
"0",3,"female",25
"1",1,"female",29
"0",3,"male",11
"0",2,"male",23
"0",2,"male",23
"0",3,"male",28.5
"0",3,"female",48
"1",1,"male",35
"0",1,"male",36
"1",1,"female",21
"0",3,"male",24
"1",3,"male",31
"0",1,"male",70
"0",3,"male",16
"1",2,"female",30
"0",1,"male",19
"0",3,"male",31
"1",2,"female",4
"1",3,"male",6
"0",3,"male",33
"0",3,"male",23
"1",2,"female",48
"1",2,"male",0.67
"0",3,"male",28
"0",2,"male",18
"0",3,"male",34
"1",1,"female",33
"0",3,"male",41
"1",3,"male",20
"1",1,"female",36
"0",3,"male",16
"1",1,"female",51
"0",3,"female",30.5
"0",3,"male",32
"0",3,"male",24
"0",3,"male",48
"0",2,"female",57
"1",2,"female",54
"0",3,"male",18
"1",3,"female",5
"1",1,"female",43
"1",3,"female",13
"1",1,"female",17
"0",1,"male",29
"0",3,"male",25
"0",3,"male",25
"1",3,"female",18
"0",3,"male",8
"1",3,"male",1
"0",1,"male",46
"0",2,"male",16
"0",3,"male",25
"0",2,"male",39
"1",1,"female",49
"1",3,"female",31
"0",3,"male",30
"0",3,"female",30
"0",2,"male",34
"1",2,"female",31
"1",1,"male",11
"1",3,"male",0.42
"1",3,"male",27
"0",3,"male",31
"0",1,"male",39
"0",3,"female",18
"0",2,"male",39
"1",1,"female",33
"0",3,"male",26
"0",3,"male",39
"0",2,"male",35
"0",3,"female",6
"0",3,"male",30.5
"0",3,"female",23
"0",2,"male",31
"0",3,"male",43
"0",3,"male",10
"1",1,"female",52
"1",3,"male",27
"0",1,"male",38
"1",3,"female",27
"0",3,"male",2
"1",2,"male",1
"1",1,"female",62
"1",3,"female",15
"1",2,"male",0.83
"0",3,"male",23
"0",3,"male",18
"1",1,"female",39
"0",3,"male",21
"1",3,"male",32
"0",3,"male",20
"0",2,"male",16
"1",1,"female",30
"0",3,"male",34.5
"0",3,"male",17
"0",3,"male",42
"0",3,"male",35
"0",2,"male",28
"0",3,"male",4
"0",3,"male",74
"0",3,"female",9
"1",1,"female",16
"0",2,"female",44
"1",3,"female",18
"1",1,"female",45
"1",1,"male",51
"1",3,"female",24
"0",3,"male",41
"0",2,"male",21
"1",1,"female",48
"0",2,"male",24
"1",2,"female",42
"1",2,"female",27
"0",1,"male",31
"1",3,"male",4
"0",3,"male",26
"1",1,"female",47
"0",1,"male",33
"0",3,"male",47
"1",2,"female",28
"1",3,"female",15
"0",3,"male",20
"0",3,"male",19
"1",1,"female",56
"1",2,"female",25
"0",3,"male",33
"0",3,"female",22
"0",2,"male",28
"0",3,"male",25
"0",3,"female",39
"0",2,"male",27
"1",1,"female",19
"1",1,"male",26
"0",3,"male",32
